sent_date,year,data_month,journal,note
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:08 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:09 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:11 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
Tue Feb  1 07:45:12 2011,2010,OCT,unknown,INITIAL
