"","ResponseID","StartDate","EndDate","Finished","journal","month","year","URL","q","Q1","Q2_1","Q2_2","Q2_3","Q2_4","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","Q8_1","Q8_2","Q8_3","Q8_4","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q9_14","Q9_15","Q9_16","Q9_17","Q10_1","Q10_2","Q10_3","Q10_4","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q14_1","Q14_2","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q14_9","Q14_10","Q15_1","Q15_2","Q15_3","Q15_4","Q16","Q17","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q18_10","Q18_11","Q18_12","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q19_9","Q19_10","Q19_11","Q19_11_TEXT","Q20_1","Q20_2","Q20_3","Q20_4","Q21","Q22","Q23","Q23_TEXT","Q24_1","Q24_2","Q24_3","Q24_4","Q26","Q27_1","Q27_2","Q27_3","Q27_4","X","Q11_1","Q11_2","Q11_3"
"2","R_3DVfnh7DLtuE0HG","2011-02-01 07:46:41","2011-02-01 07:51:45","0","Glob. Change Biol.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Somewhat Disagree","1","2","3","4","2-4 papers","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","1","2","3","4","1","Neutral",NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral",NA,NA,NA,NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","","1","2","3","4","Somewhat Agree","Somewhat Agree","postdoc","","1","2","3","4","","","","","",NA,"I don't know","No policy","Requires online public archiving"
"3","R_8jNM5Ei9Ed4VMQA","2011-02-01 07:50:59","2011-02-01 07:53:46","0","Biol. Lett.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Disagree","Disagree","1","2","3","4","None","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,"","","","","","","","","","","",NA,"","",""
"4","R_0VC9LvvBKkql99a","2011-02-01 07:48:36","2011-02-01 07:55:09","0","Ecology","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Disagree","1","2","3","4","1 paper","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"Neutral",NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Neutral","Neutral",NA,"Neutral","Neutral",NA,"Neutral",NA,"","","1","2","3","4","Agree","Somewhat Agree","postdoc","","1","2","3","4","","","","","",NA,"I don't know","I don't know","No policy"
"5","R_enU3G6OfiVwKD3e","2011-02-01 07:49:08","2011-02-01 07:55:44","0","Conserv. Biol.","OCT","2010","","1","1","1","2","3","4","1","Agree","Disagree","1","2","3","4","None","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","","","We did not collect any data for that publication","","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Somewhat Agree","Neutral","Neutral",NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"Strongly Disagree",NA,NA,NA,NA,"Neutral","Neutral",NA,NA,NA,"Neutral","Neutral","","","1","2","3","4","Agree","Disagree","student","","1","2","3","4","","","","","",NA,"I don't know","I don't know","I don't know"
"6","R_2uz2kjQWCWzH12Y","2011-02-01 07:47:16","2011-02-01 07:56:31","1","Funct. Ecol.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Disagree","Disagree","1","2","3","4","2-4 papers","1","2","3","4","Once","Never","Never","Never","Once","Never","Never","Never","Never","Never","Never","Never","A few times","A few times",NA,"Never","1","2","3","4","","","","","We did not collect any data for that publication","","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"Strongly Disagree",NA,NA,NA,NA,NA,"Strongly Disagree",NA,"Strongly Agree",NA,NA,"Neutral",NA,NA,NA,NA,NA,"Strongly Agree","","","1","2","3","4","Strongly Agree","Somewhat Agree","non-tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"I don't know","I don't know","I don't know"
"7","R_cRMhYsH5Sw9GTfm","2011-02-01 07:49:23","2011-02-01 07:56:43","1","Proc. R. Soc. B-Biol. Sci.","OCT","2010","","1","1","1","2","3","4","1","Strongly Agree","Neutral","1","2","3","4","No papers with own data","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","1","2","3","4","1","Somewhat Disagree",NA,NA,"Neutral",NA,"Neutral",NA,"Neutral","Neutral","Strongly Agree","Strongly Agree","Neutral",NA,NA,NA,NA,"Neutral",NA,"Neutral","Neutral","Neutral","Neutral",NA,"","","1","2","3","4","Agree","Somewhat Agree","tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"I don't know","I don't know","Recommends online public archiving"
"8","R_2tSGPNFAd38BOwk","2011-02-01 07:48:17","2011-02-01 07:58:19","0","Biol. Lett.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Strongly Disagree","1","2","3","4","None","1","2","3","4","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never","Never","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","1","2","3","4","1","Disagree",NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","1","2","3","4","Strongly Agree","Agree","non-tenured faculty","","1","2","3","4","","","","","",NA,"I don't know","I don't know","I don't know"
"9","R_9MJV9BUwtHYMn5y","2011-02-01 07:54:34","2011-02-01 07:58:49","0","Mol. Ecol.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Agree","1","2","3","4","Not sure","1","2","3","4","A few times","A few times","Never","A few times","Never","Never","Never","Never","Never","Never","Never","Never","A few times","A few times","Many times","Never","1","2","3","4","","","","","We did not collect any data for that publication","","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Strongly Disagree",NA,NA,"Neutral","Neutral",NA,"Neutral","Neutral",NA,"Strongly Agree","Strongly Agree","Strongly Disagree",NA,NA,NA,NA,"Neutral","Neutral",NA,NA,NA,NA,NA,"","","1","2","3","4","Strongly Agree","Agree","postdoc","","1","2","3","4","","","","","",NA,"I don't know","I don't know","I don't know"
"10","R_8crkwQY6nrgrXXm","2011-02-01 07:51:18","2011-02-01 07:59:35","1","J. Exp. Biol.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Neutral","1","2","3","4","1 paper","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Strongly Disagree","Strongly Agree",NA,"Strongly Agree","Neutral",NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Neutral",NA,"Neutral",NA,NA,"Strongly Agree","Neutral","Strongly Agree","Neutral","","1","2","3","4","Strongly Disagree","Strongly Disagree","non-tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"No policy","Recommends online public archiving","Recommends online public archiving"
"11","R_39KnPsRrSKHu7ju","2011-02-01 07:56:45","2011-02-01 08:01:09","0","BMC Evol. Biol.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Agree","1","2","3","4","2-4 papers","1","2","3","4","Never","Never","Never","A few times","A few times","Never","Once","Never","Once","Once","Never","Many times","Many times","A few times","Never","Many times","1","2","3","4","ALL datasets are publicly available online","","","","","","Journal supplementary information","","A personal or lab website","","","","","","","","","","","","Not applicable","","1","2","3","4","1","Disagree",NA,NA,NA,NA,NA,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,"Neutral","Strongly Agree","Neutral","","1","2","3","4","Agree","Strongly Agree","non-tenured faculty","","1","2","3","4","","","","","",NA,"Recommends online public archiving","Requires online public archiving","Recommends online public archiving"
