V1,V2,V3,V4,V5,journal,month,year,URL,q,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_16_TEXT,Q9_17,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1_1,Q11_1_2,Q11_1_3,Q11_1_4,Q11_1_5,Q11_1_6,Q11_2_1,Q11_2_2,Q11_2_3,Q11_2_4,Q11_2_5,Q11_2_6,Q11_3_1,Q11_3_2,Q11_3_3,Q11_3_4,Q11_3_5,Q11_3_6,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_6_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_5_TEXT,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_8_TEXT,Q14_9,Q14_10,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_12_TEXT,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_11_TEXT,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q22,Q23,Q23_TEXT,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,
ResponseID,ResponseSet,StartDate,EndDate,Finished,journal,month,year,URL,q,"The impact of public data archiving policies  /  on attitudes, experiences, and practices of authors...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"For the purpose of this survey, consider a dataset to be the collected or measured data points that...",How strongly do you disagree/agree with the following statements?  /   /  / It is the community norm in my...,"It is the community norm in my field to publicly archive all supporting datasets online, for use by...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Do any of your published research papers have publicly archived datasets?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I formed new collaborations","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I formed new collaborations that led/are leading to publications","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I formed new collaborations that led/are leading to grants","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-Others have used my datasets and formally cited me","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-Others have used my datasets but did not formally cite me","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-Others have found errors in my research through my datasets","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-Others misinterpreted my datasets or used them inappropriately","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I have had ongoing research projects scooped by another scientist","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I have had future research plans scooped by another scientist","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-The ability of a junior colleague in my group (graduate student, postdoctoral fellow, or junior faculty member) to publish subsequent research has been compromised","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-My ability to receive commercial benefit from my research has been diminished","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I spent a lot of money preparing data for sharing","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I spent a lot of time preparing data for sharing","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I spent a lot of time answering questions from qualified researchers about my shared data","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-Other (please specify)","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-Other (please specify)-TEXT","To your knowledge, how often have you experienced the / following situations as a result of sharing the datasets / behind your published research with investigators outside your / research groups? /   ...-I spent a lot of time answering questions from unqualified researchers about my shared data",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-The journal-Forbids online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-The journal-Recommends online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-The journal-Requires online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-The journal-Other","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-The journal-No policy","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-The journal-I don't know","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your funder(s)-Forbids online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your funder(s)-Recommends online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your funder(s)-Requires online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your funder(s)-Other","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your funder(s)-No policy","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your funder(s)-I don't know","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your employer or institution-Forbids online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your employer or institution-Recommends online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your employer or institution-Requires online public archiving","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your employer or institution-Other","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your employer or institution-No policy","To your knowledge, what are the policies of these stakeholders as they apply to online public archiv...-Your employer or institution-I don't know",Are all datasets associated with your ${e://Field/month} ${e://Field/year} publication in ${e://Fiel...-ALL datasets are publicly available online,Are all datasets associated with your ${e://Field/month} ${e://Field/year} publication in ${e://Fiel...-SOME but not all of the datasets are publicly available online,Are all datasets associated with your ${e://Field/month} ${e://Field/year} publication in ${e://Fiel...-NONE of the datasets are publicly available online,Are all datasets associated with your ${e://Field/month} ${e://Field/year} publication in ${e://Fiel...-I don't know,Are all datasets associated with your ${e://Field/month} ${e://Field/year} publication in ${e://Fiel...-We did not collect any data for that publication,Are all datasets associated with your ${e://Field/month} ${e://Field/year} publication in ${e://Fiel...-Other (please specify),Are all datasets associated with your ${e://Field/month} ${e://Field/year} publication in ${e://Fiel...-Other (please specify)-TEXT,"IF ALL or SOME datasets associated with this paper are publicly available, where are the datasets ho...-Journal supplementary information","IF ALL or SOME datasets associated with this paper are publicly available, where are the datasets ho...-A repository for data or research output","IF ALL or SOME datasets associated with this paper are publicly available, where are the datasets ho...-A personal or lab website","IF ALL or SOME datasets associated with this paper are publicly available, where are the datasets ho...-The entire dataset is in the body of the paper","IF ALL or SOME datasets associated with this paper are publicly available, where are the datasets ho...-Other (please specify)","IF ALL or SOME datasets associated with this paper are publicly available, where are the datasets ho...-Other (please specify)-TEXT","IF ALL or SOME datasets associated with this paper are publicly available, where are the datasets ho...-Not applicable","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-The dataset has been submitted to a repository and is currently under embargo","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-We plan to publicly archive the dataset in the future","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-We plan to share the dataset upon request","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-We hadn't considered publicly archiving the dataset","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-We considered publicly archiving data and decided not to","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-We wanted to publicly archive the data but were not able to, due to resource limitations","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-We wanted to publicly archive the data but were not able to, for other reasons","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-Other (please specify)","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-Other (please specify)-TEXT","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-Not applicable","If NONE or only SOME of the datasets are publicly available, which of the following reflect your exp...-We wanted to publicly archive the data but were not able to, due to licencing or funder restrictions",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"The questions below refer to the Joint Data Archiving Policy, an example policy statement adopted by...",How strongly do you disagree/agree with this statement? I would seek alternative journals if I learn...,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... others might do research I am currently working on,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... others might do research I am planning to do,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... others might find errors in my research,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... others might misinterpret my dataset or use it inappropriately,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... I/we might be bothered with a lot of questions by qualified people,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... I/we might be bothered with a lot of questions by unqualified people,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... I/we might not be able to find the data,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... it might take me/us a lot of time to find the data,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... it might take me/us a lot of time to format or document the data,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... it might take me/us a lot of time to submit the data,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-... I might lose intellectual property or commercial opportunities,Imagine you just found a great journal to target when submitting your next manuscript. You read the...-Other worries (please specify),Imagine you just found a great journal to target when submitting your next manuscript. You read the...-Other worries (please specify)-TEXT,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... others will build upon my work more easily,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... I will get more citations,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... I will form more collaborations,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... the contribution will be valued by my promotion or tenure committee,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... the contribution will be valued by my funders,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... I will be able to reuse other work more easily,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... I will be able to reuse other work more often,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... my scientific area will progress more quickly,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... my scientific area will develop better tools and/or training,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-... I think it is the right thing to do,Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-Other (please specify),Same instructions as the previous question:  /  /   /  Imagine you just found a great journal to target wh...-Other (please specify)-TEXT,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,How strongly do you disagree/agree with the following statements? Using datasets collected by invest...,Using datasets collected by investigators outside my research group is important in my teaching or o...,Please choose the title that most closely matches yours:,Please choose the title that most closely matches yours:-TEXT,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Do you have any comments on the topic, or suggestions for how to improve this questionnaire?",Thank you for completing this survey!  /  /  If you would like to enter the drawing for a $20 Amazon gif...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,
R_3DVfnh7DLtuE0HG,Default Response Set,2011-02-01 07:46:41,2011-02-01 07:51:45,0,Glob. Change Biol.,OCT,2010,,1,1,1,2,3,4,1,Somewhat Agree,Somewhat Disagree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,,,,I don't know,,,,,No policy,,,,Requires online public archiving,,,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,We plan to share the dataset upon request,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Neutral,.,.,.,.,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,.,.,.,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,1,2,3,4,Somewhat Agree,Somewhat Agree,postdoc,,1,2,3,4,,,,,,,
R_8jNM5Ei9Ed4VMQA,Default Response Set,2011-02-01 07:50:59,2011-02-01 07:53:46,0,Biol. Lett.,OCT,2010,,1,1,1,2,3,4,1,Somewhat Disagree,Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0VC9LvvBKkql99a,Default Response Set,2011-02-01 07:48:36,2011-02-01 07:55:09,0,Ecology,OCT,2010,,1,1,1,2,3,4,1,Somewhat Agree,Disagree,1,2,3,4,"Yes, a dataset from <b>one paper</b> is publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,No policy,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,We plan to share the dataset upon request,,,,,,,,,1,2,3,4,1,Strongly Disagree,Strongly disagree,.,.,.,.,Neutral,.,.,.,.,Strongly disagree,Strongly disagree,,.,.,Neutral,Neutral,.,Neutral,Neutral,.,Neutral,.,,,1,2,3,4,Agree,Somewhat Agree,postdoc,,1,2,3,4,,,,,,,
R_enU3G6OfiVwKD3e,Default Response Set,2011-02-01 07:49:08,2011-02-01 07:55:44,0,Conserv. Biol.,OCT,2010,,1,1,1,2,3,4,1,Agree,Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,,,We did not collect any data for that publication,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Somewhat Agree,Neutral,Neutral,.,.,Strongly disagree,Strongly disagree,.,.,.,.,Strongly disagree,,,.,.,.,Neutral,Neutral,.,.,.,Neutral,Neutral,,,1,2,3,4,Agree,Disagree,student,,1,2,3,4,,,,,,,
R_2uz2kjQWCWzH12Y,Default Response Set,2011-02-01 07:47:16,2011-02-01 07:56:31,1,Funct. Ecol.,OCT,2010,,1,1,1,2,3,4,1,Somewhat Disagree,Disagree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,Once,Never,Never,Never,Once,Never,Never,Never,Never,Never,Never,Never,A few times,A few times,,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,,,We did not collect any data for that publication,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Strongly Disagree,.,.,Strongly disagree,.,Strongly disagree,.,.,.,.,.,Strongly disagree,,,Strongly agree,.,.,Neutral,.,.,.,.,.,Strongly agree,,,1,2,3,4,Strongly Agree,Somewhat Agree,non-tenured faculty,,1,2,3,4,,1,1,2,3,4,
R_cRMhYsH5Sw9GTfm,Default Response Set,2011-02-01 07:49:23,2011-02-01 07:56:43,1,Proc. R. Soc. B-Biol. Sci.,OCT,2010,,1,1,1,2,3,4,1,Strongly Agree,Neutral,1,2,3,4,I've never published a paper based on a dataset collected by me or my co-authors,1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,,,,I don't know,,,Requires online public archiving,,,I don't know,,Recommends online public archiving,,,,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Somewhat Disagree,.,.,Neutral,.,Neutral,.,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,,,.,.,.,Neutral,.,Neutral,Neutral,Neutral,Neutral,.,,,1,2,3,4,Agree,Somewhat Agree,tenured faculty,,1,2,3,4,You have not touched upon the fact that this sort of open access archiving costs money and it is not clear who pays. Certainly research funding agencies seen very keen on the doing and not very keen on the paying. This in increasing the need to prescribe outputs before they appear. ,1,1,2,3,4,
R_2tSGPNFAd38BOwk,Default Response Set,2011-02-01 07:48:17,2011-02-01 07:58:19,0,Biol. Lett.,OCT,2010,,1,1,1,2,3,4,1,Somewhat Agree,Strongly Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Once,Once,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,NONE of the datasets are publicly available online,,,,,,,,,,,,,,We plan to share the dataset upon request,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Disagree,.,.,Neutral,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,,,1,2,3,4,Strongly Agree,Agree,non-tenured faculty,,1,2,3,4,,,,,,,
R_9MJV9BUwtHYMn5y,Default Response Set,2011-02-01 07:54:34,2011-02-01 07:58:49,0,Mol. Ecol.,OCT,2010,,1,1,1,2,3,4,1,Somewhat Agree,Agree,1,2,3,4,I'm not sure if any of my papers have publicly available datasets,1,2,3,4,A few times,A few times,Never,A few times,Never,Never,Never,Never,Never,Never,Never,Never,A few times,A few times,Many times,I spend a lot of time curating shared data that may lead to first- or junior-authored publications.,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,,,We did not collect any data for that publication,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Strongly Disagree,.,.,Neutral,Neutral,.,Neutral,Neutral,.,Strongly agree,Strongly agree,Strongly disagree,,,.,.,.,Neutral,Neutral,.,.,.,.,.,,,1,2,3,4,Strongly Agree,Agree,postdoc,,1,2,3,4,,,,,,,
R_8crkwQY6nrgrXXm,Default Response Set,2011-02-01 07:51:18,2011-02-01 07:59:35,1,J. Exp. Biol.,OCT,2010,,1,1,1,2,3,4,1,Somewhat Agree,Neutral,1,2,3,4,"Yes, a dataset from <b>one paper</b> is publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,1,2,3,4,,,,,No policy,,,Recommends online public archiving,,,,,,Recommends online public archiving,,,,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Strongly Disagree,Strongly agree,.,Strongly agree,Neutral,.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Strongly agree,Strongly agree,Neutral,.,Neutral,.,.,Strongly agree,Neutral,Strongly agree,Neutral,,1,2,3,4,Strongly Disagree,Strongly Disagree,non-tenured faculty,,1,2,3,4,,1,1,2,3,4,
