"JournalName" "Journal" "policy" "policy_start" "policy_start_str"
"11" "American Naturalist" "Am. Nat." "Required" "2011-01-01" "01.01.2011"
"13" "Behavioral Ecology" "Behav. Ecol." "Encouraged" "" NA
"14" "Behavioral Ecology and Sociobiology" "Behav. Ecol. Sociobiol." "None" "" NA
"17" "Biological Journal of the Linnean Society" "Biol. J. Linnean Soc." "Required" "2011-09-03" "18.09.2010-03.09.2011"
"18" "Biology Letters" "Biol. Lett." "Required" "2014-10-29" "01.09.2014-29.10.2014"
"23" "BMC Evolutionary Biology" "BMC Evol. Biol." "Encouraged" "" NA
"28" "Conservation Biology" "Conserv. Biol." "None" "" NA
"33" "Ecological Applications" "Ecol. Appl." "Required" "2014-01-01" "01.01.2014"
"34" "Ecological Monographs" "Ecol. Monogr." "Required" "2011-01-01" "01.01.2011"
"36" "Ecology" "Ecology" "None" "" NA
"42" "Evolution" "Evolution" "Required" "2011-01-01" "01.01.2011"
"44" "Evolutionary Applications" "Evol. Appl." "Required" "2011-01-01" "01.01.2011"
"45" "FASEB Journal" "Faseb J." "Encouraged" "" NA
"47" "Functional Ecology" "Funct. Ecol." "Required" "2012-12-05" "05.10.2012-5.12.2012"
"49" "GENETICS" "Genetics" "Required" "2010-01-01" "01.01.2010"
"52" "Global Change Biology" "Glob. Change Biol." "Encouraged" "" NA
"56" "Heredity" "Heredity" "Required" "2011-03-01" "01.03.2011"
"62" "Journal of Animal Ecology" "J. Anim. Ecol." "Required" "2012-12-01" "01.12.2012"
"64" "Journal of Biogeography" "J. Biogeogr." "Encouraged" "" NA
"65" "Journal of Ecology" "J. Ecol." "Required" "2013-06-03" "5.5.2013 - 3.6.2013"
"66" "Journal of Evolutionary Biology" "J. Evol. Biol." "Required" "2011-10-24" "24.8.2011 – 24.10.2011"
"67" "Journal of Experimental Botany" "J. Exp. Bot." "Encouraged" "" NA
"69" "Journal of Heredity" "J. Hered." "Required" "2013-01-01" "01.01.2013"
"71" "Journal of Molecular Evolution" "J. Mol. Evol." "None" "" NA
"73" "Journal of Paleontology" "J. Paleontol." "None" "" NA
"75" "Molecular Biology and Evolution" "Mol. Biol. Evol." "Required" "2010-12-31" "01.01.2010-31.12.2010"
"76" "Molecular Ecology" "Mol. Ecol." "Required" "2011-01-01" "01.01.2011"
"78" "Molecular Phylogenetics and Evolution" "Mol. Phylogenet. Evol." "Encouraged" "" NA
"84" "Oecologia" "Oecologia" "None" "" NA
"85" "Oikos" "Oikos" "Required" "2014-03-06" "<06.03.2014"
"87" "Paleobiology" "Paleobiology" "Encouraged" "" NA
"90" "PLoS Biology" "PLoS. Biol." "Required" "2014-11-14" "12.10.2014-14.11.2014"
"101" "Systematic Biology" "Syst. Biol." "Required" "2010-12-31" "01.01.2010-31.12.2010"
"104" "Animal Behaviour" "Anim. Behav." "Encouraged" "" NA
"105" "Biological Conservation" "Biol. Conserv." "Encouraged" "" NA
"106" "BMC Biology" "BMC Biol." "Required" "2014-08-19" ">19.08.2014"
"107" "BMC Plant Biology" "BMC Plant Biol." "Encouraged" "" NA
"108" "Conservation genetics" "Conserv. Genet." "None" "" NA
"109" "Evolutionary Ecology" "Evol. Ecol." "None" "" NA
"110" "FEBBS Letters" "FEBS Lett." "None" "" NA
"111" "Genome research" "Genome Res." "Required" "2008-07-06" "<06.07.2008"
"112" "ISME Journal" "ISME J." "Encouraged" "" NA
"113" "Journal of Experimental Biology" "J. Exp. Biol." "None" "" NA
"114" "Nature structural & molecular biology" "Nat. Struct. Mol. Biol." "Encouraged" "" NA
"115" "New Phytologist" "New Phytol." "Required" "2010-11-23" "<23.11.2010"
"116" "Proceedings of the Royal Society B: Biological Sciences" "Proc. R. Soc. B-Biol. Sci." "Required" "2013-03-20" "<20.03.2013"
"117" "Physiological Genomics" "Physiol. Genomics" "None" "" NA
"118" "The Plant Journal" "Plant J." "Required" "2010-08-18" "< 18.08.2010"
