"","ResponseID","ResponseDate","PublicationDate","Journal","Q_1","Q_2","Q_3","Q_4_1","Q_4_2","Q_4_3","Q_4_4","Q_4_5","Q_4_6","Q_4_7","Q_4_8","Q_4_9","Q_4_10","Q_4_11","Q_4_12","Q_4_13","Q_4_14","Q_4_15","Q_4_15_TEXT","Q_4_16","Q_5_1","Q_5_2","Q_5_3","Q_6_1","Q_6_2","Q_6_3","Q_6_4","Q_6_5","Q_6_6","Q_6_6_TEXT","Q_7_1","Q_7_2","Q_7_3","Q_7_4","Q_7_5","Q_7_5_TEXT","Q_7_6","Q_8_1","Q_8_2","Q_8_3","Q_8_4","Q_8_5","Q_8_6","Q_8_7","Q_8_8","Q_8_8_TEXT","Q_8_9","Q_8_10","Q_9","Q_10_1","Q_10_2","Q_10_3","Q_10_4","Q_10_5","Q_10_6","Q_10_7","Q_10_8","Q_10_9","Q_10_10","Q_10_11","Q_10_12","Q_10_12_TEXT","Q_11_1","Q_11_2","Q_11_3","Q_11_4","Q_11_5","Q_11_6","Q_11_7","Q_11_8","Q_11_9","Q_11_10","Q_11_11","Q_11_11_TEXT","Q_12","Q_13","Q_14_1","Q_14_2","Q_15","Q_16"
"2","R_3DVfnh7DLtuE0HG","Feb 2011","Oct 2010","Glob. Change Biol.","Somewhat Agree","Somewhat Disagree","2-4 papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","No policy","Requires online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Neutral",NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral",NA,NA,NA,NA,"","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"","Somewhat Agree","Somewhat Agree","postdoc","","",""
"3","R_8jNM5Ei9Ed4VMQA","Feb 2011","Oct 2010","Biol. Lett.","Somewhat Disagree","Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",""
"4","R_0VC9LvvBKkql99a","Feb 2011","Oct 2010","Ecology","Somewhat Agree","Disagree","1 paper with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","","Never","I don't know","I don't know","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","","Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"Neutral",NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","",NA,NA,"Neutral","Neutral",NA,"Neutral","Neutral",NA,"Neutral",NA,NA,"","Agree","Somewhat Agree","postdoc","","",""
"5","R_enU3G6OfiVwKD3e","Feb 2011","Oct 2010","Conserv. Biol.","Agree","Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","I don't know","I don't know","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Somewhat Agree","Neutral","Neutral",NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"Strongly Disagree",NA,"",NA,NA,NA,"Neutral","Neutral",NA,NA,NA,"Neutral","Neutral",NA,"","Agree","Disagree","student","","",""
"6","R_2uz2kjQWCWzH12Y","Feb 2011","Oct 2010","Funct. Ecol.","Somewhat Disagree","Disagree","2-4 papers with archived data","Once","Never","Never","Never","Once","Never","Never","Never","Never","Never","Never","Never","A few times","A few times",NA,"","Never","I don't know","I don't know","I don't know","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"Strongly Disagree",NA,NA,NA,NA,NA,"Strongly Disagree",NA,"","Strongly Agree",NA,NA,"Neutral",NA,NA,NA,NA,NA,"Strongly Agree",NA,"","Strongly Agree","Somewhat Agree","non-tenured faculty","","","1"
"7","R_cRMhYsH5Sw9GTfm","Feb 2011","Oct 2010","Proc. R. Soc. B-Biol. Sci.","Strongly Agree","Neutral","No papers based on own data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","I don't know","Recommends online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Somewhat Disagree",NA,NA,"Neutral",NA,"Neutral",NA,"Neutral","Neutral","Strongly Agree","Strongly Agree","Neutral",NA,"",NA,NA,NA,"Neutral",NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,"","Agree","Somewhat Agree","tenured faculty","","You have not touched upon the fact that this sort of open access archiving costs money and it is not clear who pays. Certainly research funding agencies seen very keen on the doing and not very keen on the paying. This in increasing the need to prescribe outputs before they appear. ","1"
"8","R_2tSGPNFAd38BOwk","Feb 2011","Oct 2010","Biol. Lett.","Somewhat Agree","Strongly Disagree","No papers with archived data","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never","","Never","I don't know","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Disagree",NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Strongly Agree","Agree","non-tenured faculty","","",""
"9","R_9MJV9BUwtHYMn5y","Feb 2011","Oct 2010","Mol. Ecol.","Somewhat Agree","Agree","Not sure","A few times","A few times","Never","A few times","Never","Never","Never","Never","Never","Never","Never","Never","A few times","A few times","Many times","I spend a lot of time curating shared data that may lead to first- or junior-authored publications.","Never","I don't know","I don't know","I don't know","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Strongly Disagree",NA,NA,"Neutral","Neutral",NA,"Neutral","Neutral",NA,"Strongly Agree","Strongly Agree","Strongly Disagree",NA,"",NA,NA,NA,"Neutral","Neutral",NA,NA,NA,NA,NA,NA,"","Strongly Agree","Agree","postdoc","","",""
"10","R_8crkwQY6nrgrXXm","Feb 2011","Oct 2010","J. Exp. Biol.","Somewhat Agree","Neutral","1 paper with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","","Never","No policy","Recommends online public archiving","Recommends online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Strongly Disagree","Strongly Agree",NA,"Strongly Agree","Neutral",NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","","Strongly Agree","Strongly Agree","Neutral",NA,"Neutral",NA,NA,"Strongly Agree","Neutral","Strongly Agree","Neutral","","Strongly Disagree","Strongly Disagree","non-tenured faculty","","","1"
"11","R_39KnPsRrSKHu7ju","Feb 2011","Oct 2010","BMC Evol. Biol.","Somewhat Agree","Agree","2-4 papers with archived data","Never","Never","Never","A few times","A few times","Never","Once","Never","Once","Once","Never","Many times","Many times","A few times","Never","","Many times","Recommends online public archiving","Requires online public archiving","Recommends online public archiving","ALL datasets are publicly available online","","","","","","","Journal supplementary information","","A personal or lab website","","","","","","","","","","","","","","Not applicable","","Disagree",NA,NA,NA,NA,NA,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Neutral","",NA,NA,NA,NA,NA,NA,NA,NA,"Neutral","Strongly Agree","Neutral","","Agree","Strongly Agree","non-tenured faculty","","",""
