Journal,Abbreviation,Society,Publisher,Policy Description,Policy short,Date policy took effect,Integrated into Dryad?,Date of Dryad integration,Data Policy URLs,Comment
Comparative Cytogenetics,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
International Journal of Myriapodology,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
MycoKeys,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
Nature Conservation,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
NeoBiota,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
PhytoKeys,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
ZooKeys,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
Acta Tropica,,,Elsevier,,,,,,,
American Journal of Epidemiology,,,OUP,,,,,,,
American Journal of Human Genetics,,American Society of Human Genetics,Elsevier,,,,,,,
American Naturalist,Am. Nat.,American Society of Naturalists,Univ. of Chicago Press,has adopted Joint Data Archiving Policy or its equivalent; archiving mandatory 1/1/10 -> What about the discrepancy between this and the date column?,Required,01.01.2011,Y,8/26/2009,http://www.press.uchicago.edu/journals/an/instruct.html?journal=an#data,
Annals of Clinical Microbiology and Antimicrobials,,,BMC,,,,,,,
Behavioral Ecology,Behav. Ecol.,The International Society for Behavioral Ecology,OUP,Encourages data archiving,Encouraged,-,,,http://www.oxfordjournals.org/our_journals/beheco/for_authors/general.html,
Behavioral Ecology and Sociobiology,Behav. Ecol. Sociobiol.,,Springer,-,None,-,,,http://www.springer.com/life+sciences/behavioural/journal/265,
Biogeography,,,Wiley-Blackwell,,,,,,,
Bioinformatics,,The International Society for Computational Biology,OUP,,,,,,,
Biological Journal of the Linnean Society,Biol. J. Linnean Soc.,Linnean Society of London,Wiley-Blackwell,Requires archiving of data “that are integral to the manuscript”,Required,18.09.2010-03.09.2011,Y,11/21/2010,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1095-8312/homepage/ForAuthors.html,"- I couldn't find anything in the journal proper, but according to the snapshots of the URL on the left ('wayback machine' on archive.org), the policy was *not* in effect in September 2010, but was in effect in September 2011. Unfortunately, there are no snapshots in between."
Biology Letters,Biol. Lett.,NA,Royal Society Publishing,has adopted Joint Data Archiving Policy or its equivalent;,Required,01.09.2014-29.10.2014,,,http://rsbl.royalsocietypublishing.org/content/author-information,"The policy was between Sep 1, 2014 and before Oct 29, 2014.  The version of the submission guidelines cached by google is dated Oc 29, 2014 and contains the phrase “We require supporting data to be made available prior to publication so that all results are reproducible.“ The old guidelines from Sep 1, 2014 are here: https://web.archive.org/web/20140901235522/http://rsbl.royalsocietypublishing.org/site/misc/information.xhtml"
BioRisk,,,Pensoft,encourages data archiving by all authors,,2010,Y,10/13/2011,,
BioScience,,American Institute of Biological Sciences/BioOne,AIBS,,,,,,,
Biotropica,,The Association for Tropical Biology (ATB),Wiley-Blackwell,"editorial supporting mandatory data archiving by Emilio M. Bruna
Published Online: May 26 2010 
DOI: 10.1111/j.1744-7429.2010.00652.x",,,,,,
BMC Ecology,,,BMC,says working to implement JDAP,,,,,,
BMC Evolutionary Biology,BMC Evol. Biol.,,BMC,encourages data archiving by all authors,Encouraged,-,,,http://www.biomedcentral.com/bmcevolbiol/authors/instructions/researcharticle,
BMC Infectious Diseases,,,BMC,,,,,,,
BMC Public Health,,,BMC,,,,,,,
BMC Research Notes,,,BMC,,,,,,,
BMJ Open,,,BMJ,,,,Y,5/16/2011,,
Conservation Biology,Conserv. Biol.,Society for Conservation Biology,Wiley-Blackwell,-,None,-,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1523-1739/homepage/ForAuthors.html,
Database: The Journal of Biological Databases and Curation,,Biocuration?,OUP,,,,,,,
"Development, Genes and Evolution",,NA,Springer,,,,,,,
Diversity and Distributions,,,Wiley-Blackwell,,,,,,,
Ecography,,,Wiley-Blackwell,,,,,,,
Ecological Applications,Ecol. Appl.,ESA,ESA,adopted the Joint Data Sharing Policy or its equivalent,Required,01.01.2014,,,http://esapubs.org/esapubs/AuthorInstructions.htm#dp,"Adoption date was 1/1/2011 according to a previous version of this table, but is 1/1/2014 according to the link on the left. Old versions of that link (according to wayback machine on archive.org) suggest that 2014 is correct."
